station_name,latitude,longitude,station_start_year,rollout_cluster
Old Slip & Front St,40.7037992,-74.00838676,2013-01-01T00:00:00,1
Clark St & Henry St,40.69760127,-73.99344559,2013-01-01T00:00:00,1
E 16 St & 5 Ave,40.737,-73.99238967,2013-01-01T00:00:00,1
Clinton St & Tillary St,40.696192,-73.991420567035675,2013-01-01T00:00:00,1
6 Ave & Canal St,40.72243797,-74.00566443,2013-01-01T00:00:00,1
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2013-01-01T00:00:00,1
S 3 St & Bedford Ave,40.71260486,-73.96264403,2013-01-01T00:00:00,1
Lexington Ave & E 24 St,40.74025878,-73.98409214,2013-01-01T00:00:00,1
E 56 St & Madison Ave,40.761573,-73.972924,2013-01-01T00:00:00,1
Clinton St & Grand St,40.71559509,-73.9870295,2013-01-01T00:00:00,1
Clinton Ave & Myrtle Ave,40.693261,-73.968896,2013-01-01T00:00:00,1
E 10 St & 5 Ave,40.73331967,-73.99510132,2013-01-01T00:00:00,1
E 23 St & 1 Ave,40.736502,-73.97809472,2013-01-01T00:00:00,1
W 44 St & 5 Ave,40.75500254,-73.98014437,2013-01-01T00:00:00,1
E 24 St & Park Ave S,40.74,-73.98602213,2013-01-01T00:00:00,1
Broadway & W 55 St,40.7652654,-73.98192338,2013-01-01T00:00:00,1
St Marks Pl & 1 Ave,40.72779126,-73.98564945,2013-01-01T00:00:00,1
