,station_name,latitude,longitude,station_start_year,rollout_cluster
257,E 9 St & Avenue C,40.72521311,-73.97768752,2013-01-01T00:00:00,2013
258,Henry St & Grand St,40.714211,-73.981346,2013-01-01T00:00:00,2013
259,John St & William St,40.70862144,-74.00722156,2013-01-01T00:00:00,2013
260,W 47 St & 10 Ave,40.76269882,-73.99301222,2013-01-01T00:00:00,2013
261,W 52 St & 9 Ave,40.76461837,-73.98789473,2013-01-01T00:00:00,2013
262,W 24 St & 7 Ave,40.74487634,-73.99529885,2013-01-01T00:00:00,2013
263,Cleveland Pl & Spring St,40.7218158,-73.998,2013-01-01T00:00:00,2013
264,E 25 St & 1 Ave,40.737,-73.97738662,2013-01-01T00:00:00,2013
265,Lexington Ave & Classon Ave,40.68676793,-73.95928168,2013-01-01T00:00:00,2013
266,W 45 St & 6 Ave,40.75668720603179,-73.98291153,2013-01-01T00:00:00,2013
267,Centre St & Chambers St,40.71273266,-74.0046073,2013-01-01T00:00:00,2013
268,Railroad Ave & Kay Ave,40.70531194,-73.97100056,2013-01-01T00:00:00,2013
269,W 46 St & 11 Ave,40.76341379,-73.998,2013-01-01T00:00:00,2013
270,Avenue D & E 3 St,40.72082834,-73.97793172,2013-01-01T00:00:00,2013
271,E 40 St & 5 Ave,40.752062307,-73.9816324043,2013-01-01T00:00:00,2013
272,Pearl St & Hanover Square,40.7047177,-74.00926027,2013-01-01T00:00:00,2013
273,W 17 St & 8 Ave,40.74177603,-74.00149746,2013-01-01T00:00:00,2013
274,Great Jones St,40.72743423,-73.99379025,2013-01-01T00:00:00,2013
275,W 26 St & 8 Ave,40.746,-73.998,2013-01-01T00:00:00,2013
276,E 27 St & 1 Ave,40.739445,-73.976806,2013-01-01T00:00:00,2013
277,Broadway & W 32 St,40.74854862,-73.98808416,2013-01-01T00:00:00,2013
278,Pike St & E Broadway,40.71406667,-73.99293911,2013-01-01T00:00:00,2013
279,Carlton Ave & Park Ave,40.69580705,-73.97355569,2013-01-01T00:00:00,2013
280,E 12 St & 3 Ave,40.73223272,-73.98889957,2013-01-01T00:00:00,2013
281,Allen St & E Houston St,40.722055,-73.989111,2013-01-01T00:00:00,2013
282,Broadway & Battery Pl,40.70463334,-74.01361706,2013-01-01T00:00:00,2013
283,Rivington St & Chrystie St,40.72110063,-73.9919254,2013-01-01T00:00:00,2013
284,Shevchenko Pl & E 6 St,40.728145,-73.990214,2013-01-01T00:00:00,2013
285,Washington Pl & 6 Ave,40.73224119,-74.00026394,2013-01-01T00:00:00,2013
286,E 15 St & 3 Ave,40.734,-73.986923,2013-01-01T00:00:00,2013
287,8 Ave & W 31 St,40.75044999,-73.995,2013-01-01T00:00:00,2013
288,2 Ave & E 31 St,40.74290902,-73.97706058,2013-01-01T00:00:00,2013
289,Willoughby Ave & Walworth St,40.69331716,-73.95381995,2013-01-01T00:00:00,2013
290,Park Pl & Church St,40.713,-74.01,2013-01-01T00:00:00,2013
291,W 53 St & 10 Ave,40.76669671,-73.992,2013-01-01T00:00:00,2013
292,S 5 Pl & S 4 St,40.710451,-73.960876,2013-01-01T00:00:00,2013
293,Christopher St & Greenwich St,40.73291553,-74.00711384,2013-01-01T00:00:00,2013
294,Vesey Pl & River Terrace,40.7153379,-74.01658354,2013-01-01T00:00:00,2013
295,Hudson St & Reade St,40.716,-74.01,2013-01-01T00:00:00,2013
296,Franklin Ave & Myrtle Ave,40.694528,-73.958089,2013-01-01T00:00:00,2013
297,Front St & Maiden Ln,40.70530954,-74.00612572,2013-01-01T00:00:00,2013
